Variedad,Altura,Cantidad (L),Temperatura,pH,Tiempo de fermentación,Puntaje en taza,Categoria_Puntaje
10,1150.0,100.0,21.0,4.93,72.0,85.25,Muy bueno
10,1150.0,84.0,18.0,4.9,96.0,83.25,Bueno
10,1150.0,64.5,16.5,4.71,120.0,84.75,Bueno
10,1150.0,64.5,16.5,4.63,144.0,85.0,Bueno
10,1150.0,100.0,24.0,4.9,24.0,82.25,Bueno
10,1150.0,100.0,21.0,4.97,48.0,85.0,Bueno
10,1150.0,100.0,21.0,4.91,72.0,86.75,Muy bueno
10,1150.0,84.0,18.0,4.67,96.0,85.0,Bueno
10,1150.0,64.5,16.5,4.65,120.0,86.0,Muy bueno
10,1150.0,64.5,16.5,4.44,144.0,83.25,Bueno
8,625.0,144.0,23.2,4.65,24.0,81.0,Bueno
8,625.0,144.0,23.2,4.4,48.0,83.5,Bueno
8,625.0,144.0,23.2,4.3,72.0,83.5,Bueno
8,625.0,144.0,23.2,4.27,96.0,84.25,Bueno
8,625.0,144.0,23.2,4.2,120.0,83.25,Bueno
8,625.0,144.0,23.2,4.17,144.0,83.5,Bueno
8,1080.0,2.4,15.0,5.1,12.0,81.25,Bueno
8,1080.0,2.4,15.0,4.5,48.0,83.0,Bueno
8,1080.0,2.4,30.0,4.4,12.0,84.0,Bueno
8,1080.0,2.4,30.0,4.0,48.0,81.0,Bueno
8,1080.0,2.4,11.9,5.1,30.0,82.0,Bueno
8,1080.0,2.4,33.1,4.2,30.0,83.0,Bueno
8,1080.0,2.4,22.5,5.0,4.0,83.5,Bueno
8,1080.0,2.4,22.5,4.3,56.0,82.5,Bueno
8,1080.0,2.4,22.5,4.5,30.0,82.25,Bueno
8,1080.0,2.4,22.5,4.5,30.0,82.5,Bueno
8,1080.0,2.4,22.5,4.4,30.0,82.25,Bueno
6,1291.0,100.0,22.2,3.39,53.0,84.25,Bueno
6,1291.0,100.0,20.5,3.46,42.0,83.5,Bueno
6,1291.0,100.0,18.5,4.26,24.0,83.25,Bueno
6,1291.0,100.0,21.6,3.63,23.0,83.25,Bueno
6,1291.0,100.0,20.9,4.07,25.0,83.25,Bueno
6,1291.0,100.0,19.5,3.67,19.0,83.5,Bueno
1,1998.0,38.9,31.6,4.74,6.0,86.5,Muy bueno
10,1069.0,94.4,16.2,4.78,72.0,83.75,Bueno
6,1163.0,95.4,16.1,3.48,45.0,83.75,Bueno
2,1781.0,19.3,32.6,4.23,9.0,83.0,Bueno
1,1781.0,3.4,32.9,4.06,15.0,73.0,No especial
3,761.0,62.8,18.7,4.18,31.0,75.5,No especial
5,1779.0,13.3,15.4,4.05,57.0,86.25,Muy bueno
3,1266.0,72.6,15.8,3.71,52.0,79.75,No especial
5,1345.0,79.1,23.3,3.69,32.0,84.25,Bueno
4,1092.0,3.8,31.2,4.5,10.0,82.75,Bueno
2,1987.0,10.6,22.9,3.88,57.0,87.25,Muy bueno
4,1533.0,21.1,15.3,3.9,35.0,86.5,Muy bueno
4,759.0,50.3,29.0,4.08,37.0,79.75,No especial
2,1453.0,11.0,23.2,4.1,20.0,82.75,Bueno
3,849.0,21.8,14.0,4.04,36.0,74.0,No especial
3,1687.0,7.7,17.0,4.29,29.0,87.5,Muy bueno
2,1495.0,53.4,21.2,3.82,26.0,82.0,Bueno
3,1568.0,21.8,32.8,3.88,19.0,74.75,No especial
6,826.0,58.8,18.3,4.44,38.0,77.25,No especial
4,1087.0,4.4,24.0,4.06,32.0,73.0,No especial
8,1110.0,23.7,18.4,4.94,19.0,79.75,No especial
5,1057.0,4.1,16.2,4.52,21.0,76.5,No especial
2,1775.0,6.9,23.8,4.62,20.0,88.0,Muy bueno
1,1797.0,30.6,22.4,4.09,19.0,85.25,Muy bueno
3,831.0,31.5,19.0,4.1,41.0,78.75,No especial
5,1713.0,3.1,16.3,4.23,54.0,87.75,Muy bueno
7,919.0,32.1,18.1,4.62,40.0,80.5,Bueno
10,1137.0,91.9,16.6,4.71,108.0,83.75,Bueno
3,1932.0,21.0,23.2,4.14,15.0,86.5,Muy bueno
6,1184.0,94.3,24.2,3.48,30.0,83.0,Bueno
3,1616.0,6.5,18.3,4.05,29.0,86.5,Muy bueno
8,1104.0,62.4,16.9,4.75,30.0,80.75,Bueno
10,1554.0,25.7,18.3,4.54,132.0,86.5,Muy bueno
2,1770.0,11.5,18.2,3.97,33.0,85.75,Muy bueno
0,1978.0,25.0,26.0,4.13,8.0,85.25,Muy bueno
6,781.0,2.8,17.8,4.81,14.0,80.0,Bueno
5,1304.0,73.4,17.6,3.68,42.0,83.5,Bueno
3,795.0,3.1,29.2,4.06,33.0,74.0,No especial
7,1114.0,39.3,19.9,4.56,24.0,77.75,No especial
10,1057.0,25.1,18.4,4.91,156.0,87.0,Muy bueno
7,884.0,93.9,22.0,4.5,29.0,80.5,Bueno
3,1503.0,121.5,30.7,3.86,14.0,77.25,No especial
2,1920.0,28.8,25.7,3.87,19.0,86.25,Muy bueno
9,799.0,109.7,18.9,4.47,125.0,83.25,Bueno
10,1199.0,24.4,23.0,4.78,70.0,85.5,Muy bueno
4,1457.0,21.0,15.8,3.86,53.0,86.25,Muy bueno
4,1182.0,23.9,32.1,3.55,27.0,75.0,No especial
6,1142.0,113.7,24.2,3.57,21.0,83.75,Bueno
10,1255.0,72.7,18.8,4.71,117.0,86.0,Muy bueno
5,1106.0,117.1,26.3,3.49,35.0,80.25,Bueno
5,1408.0,2.6,32.8,4.39,16.0,77.0,No especial
10,1128.0,44.5,19.9,4.83,116.0,86.0,Muy bueno
6,837.0,2.6,18.7,4.95,11.0,85.75,Muy bueno
6,1001.0,123.7,20.7,3.75,33.0,83.75,Bueno
3,1002.0,25.6,14.0,4.07,47.0,75.25,No especial
6,1045.0,2.8,19.9,4.72,20.0,79.25,No especial
9,1023.0,3.5,18.7,4.92,25.0,84.75,Bueno
0,2052.0,39.6,25.9,4.38,7.0,80.0,No especial
6,657.0,95.2,21.5,4.46,49.0,81.75,Bueno
4,1031.0,18.6,32.3,3.6,26.0,78.75,No especial
1,1967.0,36.2,25.4,4.2,13.0,84.0,Bueno
1,1934.0,14.0,24.0,3.77,22.0,86.75,Muy bueno
5,1085.0,106.1,22.7,3.82,35.0,78.75,No especial
2,1613.0,17.5,16.1,4.12,34.0,85.75,Muy bueno
7,967.0,88.3,24.8,4.32,28.0,79.75,No especial
2,1320.0,18.1,14.0,4.07,28.0,82.5,Bueno
2,1591.0,11.2,29.8,3.92,22.0,74.0,No especial
10,1056.0,46.9,19.5,4.67,132.0,86.0,Muy bueno
4,1451.0,10.4,31.4,4.07,29.0,79.25,No especial
8,929.0,27.8,13.7,4.77,45.0,79.25,No especial
8,952.0,94.6,17.0,4.58,62.0,82.75,Bueno
5,913.0,26.9,20.3,4.09,29.0,77.25,No especial
1,701.0,10.9,12.8,3.83,47.0,73.0,No especial
7,1027.0,44.2,20.8,4.78,20.0,80.25,Bueno
1,1859.0,14.8,18.6,3.99,32.0,86.0,Muy bueno
10,1360.0,27.5,16.0,4.93,163.0,86.75,Muy bueno
6,1267.0,3.9,25.5,4.38,19.0,77.5,No especial
10,1094.0,10.0,17.3,4.94,49.0,84.5,Bueno
9,1539.0,61.8,21.7,4.37,115.0,86.25,Muy bueno
9,1149.0,87.1,22.2,5.12,19.0,83.75,Bueno
5,1142.0,65.5,29.1,4.05,27.0,78.25,No especial
2,1560.0,7.3,18.0,4.08,28.0,82.0,Bueno
5,945.0,14.1,14.8,4.53,25.0,76.0,No especial
5,1464.0,24.5,16.2,3.92,53.0,85.5,Muy bueno
6,1406.0,69.8,26.6,3.55,29.0,87.25,Muy bueno
10,893.0,175.1,21.2,5.02,112.0,86.0,Muy bueno
5,1492.0,68.2,18.2,3.63,41.0,85.0,Muy bueno
4,819.0,99.6,28.5,3.57,26.0,78.25,No especial
4,1227.0,2.5,31.8,4.47,15.0,80.75,Bueno
10,1023.0,53.5,15.5,4.61,151.0,85.0,Muy bueno
0,1906.0,120.7,31.8,4.19,6.0,74.25,No especial
1,1996.0,18.5,22.7,4.1,12.0,86.0,Muy bueno
10,1104.0,71.6,17.7,4.84,133.0,85.5,Muy bueno
7,1722.0,15.4,18.9,4.15,112.0,86.75,Muy bueno
4,1133.0,44.2,31.3,4.04,20.0,77.25,No especial
2,1464.0,35.3,21.7,4.18,19.0,83.75,Bueno
4,1744.0,8.0,29.2,4.23,21.0,85.0,Bueno
9,984.0,89.1,15.5,4.65,70.0,82.75,Bueno
9,1119.0,2.6,20.0,4.87,59.0,87.25,Muy bueno
1,1936.0,24.1,24.8,3.93,15.0,85.25,Muy bueno
2,1122.0,34.6,17.1,3.8,47.0,72.25,No especial
5,1042.0,112.6,29.4,3.48,24.0,83.5,Bueno
10,1471.0,17.7,17.4,4.82,139.0,87.0,Muy bueno
9,931.0,86.9,18.5,4.59,146.0,84.75,Bueno
3,1776.0,42.8,26.4,3.73,19.0,83.25,Bueno
3,1504.0,85.3,26.5,3.79,38.0,75.5,No especial
5,1380.0,5.4,31.5,3.77,27.0,76.25,No especial
4,1505.0,23.6,18.2,3.82,96.0,82.75,Bueno
2,1079.0,52.2,13.3,3.82,45.0,80.25,Bueno
10,837.0,4.2,24.2,4.84,47.0,86.75,Muy bueno
6,1504.0,4.4,29.9,4.39,22.0,85.5,Muy bueno
10,761.0,135.8,21.6,4.83,147.0,86.25,Muy bueno
8,1106.0,28.4,15.4,4.79,28.0,80.0,Bueno
8,1516.0,29.2,17.5,4.21,89.0,85.75,Muy bueno
1,1783.0,34.7,23.6,3.83,19.0,82.0,Bueno
2,1432.0,45.3,19.1,4.13,24.0,82.5,Bueno
3,1396.0,32.0,16.7,3.97,34.0,83.25,Bueno
6,1486.0,70.4,20.2,3.74,41.0,85.25,Muy bueno
10,1146.0,78.8,18.2,4.83,61.0,82.5,Bueno
1,1736.0,43.1,22.3,3.84,19.0,82.0,Bueno
4,1042.0,2.7,16.5,4.4,30.0,75.25,No especial
1,1819.0,38.0,19.3,3.77,36.0,73.5,No especial
3,636.0,19.2,31.6,4.31,19.0,82.0,Bueno
8,614.0,141.2,23.4,4.25,132.0,84.25,Bueno
3,1182.0,3.9,29.2,3.98,42.0,72.75,No especial
1,1985.0,34.9,29.2,4.04,14.0,82.5,Bueno
4,1636.0,41.4,21.2,3.6,33.0,86.75,Muy bueno
3,864.0,2.4,33.0,4.31,15.0,80.0,Bueno
4,873.0,21.3,14.1,4.51,46.0,75.75,No especial
4,918.0,54.8,20.3,3.56,37.0,74.5,No especial
5,712.0,51.4,18.1,4.23,90.0,79.0,No especial
2,1814.0,32.8,24.0,3.73,18.0,83.0,Bueno
2,1690.0,104.2,31.5,3.98,10.0,74.0,No especial
6,1004.0,27.1,28.4,3.91,112.0,81.0,Bueno
1,1392.0,6.3,31.4,4.07,17.0,84.75,Bueno
10,1107.0,65.5,19.2,4.51,89.0,85.5,Muy bueno
1,1930.0,32.8,27.5,4.05,17.0,82.0,Bueno
2,1627.0,31.8,28.1,4.32,14.0,83.25,Bueno
10,1108.0,83.1,17.2,4.57,120.0,84.75,Bueno
2,1635.0,52.0,22.7,3.83,16.0,83.75,Bueno
9,978.0,72.8,22.8,4.55,58.0,84.5,Bueno
1,1941.0,5.8,20.6,3.97,41.0,87.5,Muy bueno
7,960.0,19.2,14.0,4.76,33.0,79.0,No especial
6,1194.0,108.5,24.1,3.55,31.0,79.5,No especial
7,1372.0,69.6,15.5,4.01,69.0,83.75,Bueno
7,997.0,129.4,22.5,3.86,56.0,84.25,Bueno
8,965.0,143.0,23.3,4.9,14.0,81.5,Bueno
1,1482.0,8.3,15.7,4.03,36.0,84.0,Bueno
6,1124.0,18.1,28.7,3.91,31.0,79.75,No especial
5,1185.0,2.6,28.0,4.6,17.0,84.5,Bueno
4,1274.0,2.8,32.9,4.58,7.0,85.5,Muy bueno
2,1570.0,63.2,26.1,3.72,38.0,77.5,No especial
9,1023.0,2.7,22.3,4.85,27.0,86.75,Muy bueno
8,1043.0,34.7,18.7,4.66,26.0,79.25,No especial
7,1470.0,67.1,22.7,3.49,33.0,86.25,Muy bueno
3,1298.0,21.6,14.0,3.74,49.0,85.5,Muy bueno
8,1332.0,91.6,19.5,4.2,58.0,84.5,Bueno
2,1634.0,8.2,28.4,3.96,20.0,77.25,No especial
4,1162.0,92.1,27.2,3.68,26.0,78.5,No especial
4,1426.0,70.3,22.9,3.53,25.0,82.25,Bueno
5,934.0,50.7,20.3,3.91,32.0,77.75,No especial
9,1778.0,38.2,22.8,4.33,54.0,86.5,Muy bueno
2,986.0,4.3,14.1,4.09,31.0,73.0,No especial
1,1718.0,27.0,18.2,3.91,24.0,81.25,Bueno
10,1031.0,82.7,19.5,4.79,104.0,84.25,Bueno
9,1132.0,14.1,18.3,4.87,32.0,83.75,Bueno
1,1744.0,31.8,18.2,3.97,33.0,83.5,Bueno
6,1263.0,3.0,30.8,4.38,18.0,76.75,No especial
7,1130.0,18.6,24.6,4.5,27.0,79.25,No especial
4,1026.0,106.6,27.8,4.45,12.0,75.25,No especial
1,1349.0,27.6,13.1,3.8,49.0,83.25,Bueno
10,1282.0,54.0,16.8,4.52,163.0,85.25,Muy bueno
6,1130.0,52.2,18.1,4.25,40.0,80.0,No especial
3,1083.0,49.8,18.0,3.71,43.0,72.25,No especial
3,951.0,16.2,13.7,4.48,19.0,73.25,No especial
10,1150.0,33.3,20.9,4.68,81.0,86.0,Muy bueno
4,1841.0,27.9,21.6,3.95,47.0,86.0,Muy bueno
7,1135.0,2.9,16.4,4.92,16.0,81.0,Bueno
2,1572.0,7.2,17.8,4.03,22.0,84.5,Bueno
10,1138.0,61.6,16.0,4.52,158.0,85.5,Muy bueno
9,1012.0,14.6,21.6,4.76,39.0,83.75,Bueno
10,1245.0,55.1,16.1,4.82,145.0,86.75,Muy bueno
6,1194.0,104.9,19.0,3.94,48.0,84.0,Bueno
8,1136.0,56.1,15.3,4.68,31.0,79.5,No especial
5,1455.0,13.3,19.0,4.19,39.0,87.0,Muy bueno
2,1592.0,3.8,32.7,4.04,15.0,76.5,No especial
7,1190.0,11.3,21.8,4.46,29.0,82.0,Bueno
3,979.0,2.4,31.9,4.13,19.0,73.75,No especial
9,1124.0,83.6,17.4,4.49,120.0,85.0,Muy bueno
3,1278.0,21.1,33.0,3.72,15.0,76.25,No especial
9,1142.0,103.8,19.7,4.76,56.0,82.25,Bueno
6,1582.0,24.8,16.5,4.14,76.0,85.25,Muy bueno
5,579.0,107.5,29.1,4.22,46.0,81.0,Bueno
4,1473.0,2.5,27.2,4.34,15.0,75.5,No especial
5,956.0,99.1,27.8,3.56,28.0,82.5,Bueno
9,1012.0,79.9,16.2,4.41,87.0,83.25,Bueno
1,317.0,48.6,30.2,3.81,33.0,77.0,No especial
9,1020.0,146.0,19.5,4.92,20.0,82.0,Bueno
0,2094.0,13.3,27.4,4.27,5.0,85.5,Muy bueno
10,1194.0,86.2,18.9,4.88,148.0,86.0,Muy bueno
6,1156.0,15.0,29.5,4.3,29.0,76.75,No especial
5,1104.0,59.2,30.2,3.5,38.0,76.25,No especial
2,791.0,142.7,32.2,3.86,14.0,76.75,No especial
8,1838.0,6.5,18.0,3.92,160.0,86.75,Muy bueno
4,1229.0,69.8,26.0,3.63,46.0,78.0,No especial
4,1178.0,72.9,19.0,3.62,34.0,77.75,No especial
3,989.0,2.8,32.7,4.3,17.0,80.25,Bueno
8,932.0,2.6,16.1,5.04,15.0,85.5,Muy bueno
6,913.0,9.3,26.3,4.41,29.0,81.5,Bueno
10,1433.0,36.6,17.8,4.52,138.0,86.75,Muy bueno
5,1759.0,3.1,15.0,4.23,42.0,87.75,Muy bueno
0,2082.0,6.6,28.2,4.45,9.0,87.75,Muy bueno
8,980.0,31.6,18.7,4.75,26.0,80.0,Bueno
9,1302.0,10.1,18.5,4.25,52.0,86.75,Muy bueno
6,1117.0,10.5,17.3,4.29,44.0,85.0,Muy bueno
7,1516.0,4.1,18.7,4.45,73.0,87.25,Muy bueno
1,2044.0,11.2,25.6,3.83,12.0,87.5,Muy bueno
4,1432.0,24.4,32.4,3.6,28.0,76.0,No especial
8,1054.0,3.2,27.5,4.29,23.0,81.0,Bueno
5,1326.0,97.1,22.5,3.83,32.0,84.75,Bueno
3,873.0,2.5,32.2,4.34,24.0,78.25,No especial
2,1661.0,14.0,24.6,4.26,22.0,85.25,Muy bueno
4,1346.0,66.1,20.7,3.77,28.0,85.25,Muy bueno
7,1009.0,73.9,25.2,4.77,21.0,80.25,Bueno
2,1829.0,10.0,16.6,3.87,35.0,87.5,Muy bueno
2,1973.0,15.0,24.0,3.88,36.0,86.75,Muy bueno
9,1155.0,58.2,16.4,4.42,81.0,86.0,Muy bueno
3,665.0,7.4,26.7,4.22,31.0,79.0,No especial
6,1024.0,106.0,23.0,3.44,27.0,84.5,Bueno
5,534.0,3.0,25.1,4.68,44.0,83.75,Bueno
2,1686.0,37.2,20.5,3.77,32.0,82.75,Bueno
7,1036.0,51.2,16.0,4.64,29.0,78.25,No especial
10,1007.0,67.9,18.4,4.63,123.0,84.25,Bueno
0,1904.0,31.6,22.2,3.95,14.0,75.25,No especial
7,860.0,92.0,20.5,4.53,42.0,81.75,Bueno
7,928.0,40.1,17.3,4.55,31.0,77.25,No especial
1,2025.0,46.4,30.9,3.86,12.0,73.75,No especial
10,1251.0,59.8,17.7,4.66,148.0,86.25,Muy bueno
10,1206.0,55.5,17.3,4.77,154.0,86.0,Muy bueno
1,1891.0,38.4,24.3,3.95,16.0,74.25,No especial
2,1851.0,6.8,17.7,4.02,34.0,87.75,Muy bueno
10,1014.0,91.7,19.0,4.79,54.0,82.75,Bueno
10,1085.0,55.2,16.5,4.77,161.0,86.0,Muy bueno
1,1955.0,5.8,31.0,3.97,24.0,74.0,No especial
8,538.0,136.5,27.2,4.21,100.0,84.5,Bueno
4,1346.0,3.4,32.1,4.0,25.0,73.25,No especial
2,1748.0,13.7,16.4,3.68,37.0,87.25,Muy bueno
2,1767.0,4.3,32.8,4.07,19.0,78.25,No especial
7,815.0,16.0,15.0,4.8,66.0,84.75,Bueno
2,491.0,16.1,28.1,3.86,40.0,73.5,No especial
10,962.0,139.4,19.0,4.97,110.0,85.75,Muy bueno
9,1096.0,72.1,28.6,3.72,38.0,85.0,Muy bueno
6,858.0,71.8,18.5,4.26,38.0,79.75,No especial
3,1705.0,21.9,25.0,4.26,22.0,86.0,Muy bueno
9,1054.0,85.4,23.1,4.7,55.0,83.0,Bueno
3,1150.0,3.0,32.4,3.92,35.0,73.75,No especial
4,1026.0,61.2,18.8,3.63,40.0,77.25,No especial
10,1081.0,171.5,22.7,5.13,68.0,85.5,Muy bueno
7,1231.0,33.1,21.7,4.56,28.0,83.0,Bueno
3,757.0,2.4,32.8,4.17,15.0,77.5,No especial
10,1085.0,65.5,18.1,4.64,164.0,85.75,Muy bueno
6,1087.0,114.9,27.4,3.54,25.0,83.5,Bueno
2,1499.0,23.8,15.5,3.87,53.0,82.5,Bueno
4,1208.0,4.0,30.8,4.23,24.0,75.0,No especial
10,1321.0,61.4,17.9,4.89,158.0,86.5,Muy bueno
0,2076.0,9.4,25.4,4.11,10.0,87.5,Muy bueno
8,1555.0,16.0,17.3,4.33,87.0,86.25,Muy bueno
8,1013.0,94.8,16.8,4.62,38.0,81.5,Bueno
3,1232.0,65.4,14.6,3.58,55.0,74.25,No especial
6,1841.0,36.0,23.5,4.08,81.0,86.75,Muy bueno
9,1706.0,27.0,18.5,4.1,80.0,86.75,Muy bueno
9,1530.0,13.3,16.2,4.5,83.0,85.25,Muy bueno
1,1446.0,76.1,30.4,3.9,21.0,75.25,No especial
10,1098.0,94.1,19.0,4.76,105.0,85.75,Muy bueno
5,1612.0,7.0,32.8,3.99,22.0,79.0,No especial
3,1537.0,11.8,14.3,4.03,42.0,84.75,Bueno
8,1277.0,62.4,18.5,4.34,93.0,84.0,Bueno
4,1519.0,4.0,32.9,3.65,32.0,74.5,No especial
7,1029.0,53.0,18.2,4.7,45.0,80.25,Bueno
2,1547.0,7.0,13.5,3.67,41.0,87.5,Muy bueno
1,1898.0,31.2,31.8,3.89,25.0,74.75,No especial
3,1398.0,8.4,24.5,4.14,20.0,80.25,Bueno
1,891.0,15.8,12.5,3.9,55.0,72.75,No especial
2,1851.0,14.8,19.4,3.9,40.0,87.0,Muy bueno
5,1331.0,10.8,21.5,4.3,21.0,85.75,Muy bueno
4,1040.0,2.4,12.5,4.9,10.0,76.0,No especial
7,899.0,82.2,17.8,4.28,63.0,82.5,Bueno
1,2012.0,14.9,24.7,3.92,27.0,86.75,Muy bueno
4,1364.0,7.3,19.6,4.27,19.0,83.5,Bueno
5,553.0,10.8,32.9,3.93,51.0,83.5,Bueno
6,1661.0,52.9,21.2,3.52,30.0,87.0,Muy bueno
6,1140.0,98.1,26.3,3.46,27.0,80.75,Bueno
3,383.0,8.4,28.4,4.3,58.0,80.75,Bueno
4,1264.0,86.7,18.8,3.86,31.0,81.0,Bueno
4,1349.0,25.0,30.2,3.79,32.0,78.5,No especial
6,1165.0,2.8,23.4,4.52,18.0,77.0,No especial
10,1002.0,90.3,18.2,4.73,64.0,82.75,Bueno
9,917.0,89.3,18.3,4.76,43.0,82.0,Bueno
2,806.0,3.7,26.9,4.05,33.0,73.5,No especial
5,1890.0,13.1,17.6,3.87,79.0,87.0,Muy bueno
10,1087.0,110.8,18.8,4.98,141.0,86.0,Muy bueno
4,972.0,22.8,31.4,3.57,37.0,74.5,No especial
1,392.0,11.8,32.4,3.86,46.0,76.0,No especial
0,2021.0,6.3,17.8,3.93,15.0,84.5,Bueno
0,2044.0,11.0,25.7,4.01,10.0,85.25,Muy bueno
8,1234.0,57.6,15.9,3.43,40.0,86.75,Muy bueno
10,1257.0,62.1,18.8,4.75,147.0,86.25,Muy bueno
3,680.0,2.4,30.0,4.38,16.0,82.5,Bueno
4,640.0,83.5,25.6,4.07,44.0,79.0,No especial
3,1019.0,77.6,17.4,3.76,32.0,78.25,No especial
10,945.0,161.5,21.6,4.99,44.0,85.25,Muy bueno
1,1812.0,20.2,20.9,3.98,17.0,84.25,Bueno
10,1248.0,53.7,17.0,5.0,109.0,86.75,Muy bueno
6,671.0,124.8,28.3,3.94,38.0,80.75,Bueno
9,957.0,100.7,18.0,4.79,60.0,84.0,Bueno
10,886.0,66.6,23.7,4.42,97.0,86.0,Muy bueno
10,1002.0,59.8,16.9,4.74,130.0,86.5,Muy bueno
2,1626.0,2.9,17.4,3.76,63.0,86.5,Muy bueno
4,1030.0,27.2,32.4,3.55,26.0,73.75,No especial
7,481.0,12.2,29.1,4.61,45.0,85.25,Muy bueno
10,1153.0,21.0,23.9,4.56,86.0,85.5,Muy bueno
9,1084.0,133.9,22.8,4.85,25.0,82.75,Bueno
10,1170.0,72.7,16.3,4.66,154.0,85.0,Muy bueno
2,1374.0,19.6,27.4,4.18,13.0,74.25,No especial
2,1549.0,22.9,30.8,4.01,18.0,75.25,No especial
10,1081.0,74.8,16.1,4.5,114.0,84.25,Bueno
4,1573.0,16.5,16.1,4.03,41.0,87.0,Muy bueno
1,1757.0,3.7,32.8,4.09,11.0,74.5,No especial
5,939.0,57.5,18.9,4.4,26.0,77.0,No especial
3,975.0,3.2,23.4,4.3,26.0,74.0,No especial
10,1255.0,70.7,17.7,4.64,149.0,85.75,Muy bueno
3,863.0,5.6,22.7,4.23,24.0,76.25,No especial
2,1558.0,16.6,28.9,3.95,31.0,73.5,No especial
2,1574.0,5.0,32.5,4.43,7.0,84.25,Bueno
10,903.0,78.2,19.1,4.7,151.0,86.0,Muy bueno
10,1178.0,62.6,16.7,4.65,152.0,84.75,Bueno
10,1181.0,71.3,19.1,4.97,128.0,85.5,Muy bueno
5,866.0,3.2,30.1,4.2,26.0,78.75,No especial
8,1007.0,29.2,14.4,4.78,45.0,81.75,Bueno
2,1776.0,56.0,27.8,3.91,14.0,83.0,Bueno
6,1319.0,9.6,29.2,4.5,24.0,77.25,No especial
5,691.0,19.6,13.7,4.53,90.0,78.75,No especial
6,1114.0,69.8,20.3,3.83,26.0,85.5,Muy bueno
5,1271.0,41.1,28.5,3.96,26.0,79.0,No especial
5,1084.0,9.9,32.1,3.77,24.0,75.5,No especial
4,1150.0,127.2,20.4,3.6,35.0,74.0,No especial
3,903.0,41.2,17.4,4.04,38.0,74.5,No especial
1,1799.0,28.4,21.1,3.9,21.0,82.25,Bueno
9,893.0,130.7,23.7,4.91,46.0,83.75,Bueno
8,933.0,102.2,25.6,3.64,49.0,85.25,Muy bueno
7,1901.0,14.3,21.0,4.33,44.0,87.5,Muy bueno
4,1412.0,30.5,31.7,3.66,37.0,75.25,No especial
1,1471.0,2.7,33.0,4.44,10.0,82.5,Bueno
8,1093.0,32.6,22.3,4.63,43.0,85.25,Muy bueno
7,1109.0,33.8,31.2,3.62,29.0,82.5,Bueno
3,1674.0,5.8,17.7,4.13,31.0,86.25,Muy bueno
7,603.0,40.5,22.2,4.47,79.0,84.0,Bueno
10,1228.0,70.1,17.2,4.78,151.0,85.75,Muy bueno
10,1168.0,81.5,17.7,4.86,145.0,85.75,Muy bueno
1,1643.0,42.4,18.5,3.73,40.0,76.25,No especial
9,1004.0,107.3,20.8,4.8,50.0,82.75,Bueno
3,1183.0,13.6,18.6,4.02,46.0,84.75,Bueno
4,1205.0,5.2,32.1,4.1,26.0,75.25,No especial
2,1408.0,15.6,17.0,4.1,30.0,82.5,Bueno
1,1532.0,3.0,23.7,3.95,19.0,79.5,No especial
1,1677.0,8.2,31.9,4.42,8.0,83.0,Bueno
